dateTime,open,low,high,close
21.05.2010,1.2465,1.2461,1.267,1.257
24.05.2010,1.2545,1.2331,1.256,1.2345
25.05.2010,1.2344,1.2176,1.2385,1.2371
26.05.2010,1.237,1.2152,1.237,1.2157
27.05.2010,1.2158,1.2152,1.2392,1.2354
28.05.2010,1.2354,1.2268,1.245,1.2268
31.05.2010,1.2275,1.2265,1.2332,1.2306
01.06.2010,1.2306,1.211,1.235,1.2207
02.06.2010,1.2207,1.2174,1.227,1.2244
03.06.2010,1.2244,1.2151,1.2324,1.2159
04.06.2010,1.2159,1.1954,1.2213,1.1964
07.06.2010,1.1944,1.1875,1.1988,1.1915
08.06.2010,1.1916,1.1901,1.2006,1.1962
09.06.2010,1.1962,1.1923,1.207,1.1983
10.06.2010,1.1983,1.1955,1.2139,1.2105
11.06.2010,1.2105,1.2044,1.2149,1.2092
14.06.2010,1.2119,1.2114,1.2296,1.2211
15.06.2010,1.2211,1.2167,1.2347,1.2322
16.06.2010,1.2323,1.2254,1.235,1.2299
17.06.2010,1.2299,1.224,1.2408,1.2377
18.06.2010,1.2377,1.2351,1.2414,1.237
21.06.2010,1.2429,1.2302,1.2464,1.2312
22.06.2010,1.2313,1.2249,1.2351,1.2267
24.06.2010,1.2308,1.226,1.2384,1.2325
25.06.2010,1.2325,1.2253,1.2392,1.2383
28.06.2010,1.2377,1.2264,1.2395,1.2278
29.06.2010,1.2278,1.215,1.2287,1.2185
30.06.2010,1.2186,1.2165,1.23,1.2231
01.07.2010,1.2232,1.2192,1.2537,1.2515
02.07.2010,1.2514,1.248,1.2608,1.2548
05.07.2010,1.2553,1.2507,1.256,1.2535
06.07.2010,1.2535,1.2478,1.2659,1.2624
07.07.2010,1.2623,1.2551,1.2661,1.263
08.07.2010,1.2629,1.262,1.2709,1.269
09.07.2010,1.2691,1.2608,1.272,1.2637
12.07.2010,1.264,1.255,1.2645,1.2585
13.07.2010,1.2585,1.2522,1.2736,1.2725
14.07.2010,1.2725,1.2681,1.2774,1.274
15.07.2010,1.2739,1.2708,1.2952,1.2934
16.07.2010,1.2934,1.2888,1.3004,1.2924
19.07.2010,1.2896,1.2869,1.2989,1.2947
20.07.2010,1.2946,1.2838,1.3026,1.2889
21.07.2010,1.2889,1.273,1.291,1.2753
22.07.2010,1.2752,1.2736,1.2927,1.2883
23.07.2010,1.2883,1.2792,1.2962,1.2913
26.07.2010,1.2894,1.2874,1.3003,1.2984
27.07.2010,1.2985,1.2951,1.3043,1.2999
28.07.2010,1.2999,1.2965,1.3039,1.2985
29.07.2010,1.2985,1.2976,1.3104,1.3079
30.07.2010,1.3078,1.2979,1.309,1.3028
02.08.2010,1.3059,1.3052,1.3192,1.3174
03.08.2010,1.3173,1.3145,1.3259,1.3224
04.08.2010,1.3224,1.313,1.3237,1.3153
05.08.2010,1.3153,1.3117,1.3233,1.3182
06.08.2010,1.3182,1.3156,1.3331,1.329
09.08.2010,1.329,1.3215,1.3305,1.3222
10.08.2010,1.3223,1.3073,1.3228,1.3175
11.08.2010,1.3174,1.2829,1.3184,1.2843
12.08.2010,1.2843,1.2781,1.293,1.2825
13.08.2010,1.2825,1.2751,1.2903,1.2751
16.08.2010,1.2764,1.2732,1.2868,1.2819
